x,y,z,Temperature,source_file
0.0,0.0,0.0,-0.0,Case1.vtk
0.0,0.0101010101010101,0.0,-0.0,Case1.vtk
0.0,0.0202020202020202,0.0,-0.0,Case1.vtk
0.0,0.0303030303030303,0.0,-0.0,Case1.vtk
0.0,0.0404040404040404,0.0,-0.0,Case1.vtk
0.0,0.0505050505050505,0.0,-0.0,Case1.vtk
0.0,0.0606060606060606,0.0,-0.0,Case1.vtk
0.0,0.0707070707070707,0.0,-0.0,Case1.vtk
0.0,0.0808080808080808,0.0,-0.0,Case1.vtk
0.0,0.0909090909090909,0.0,-0.0,Case1.vtk
0.0,0.101010101010101,0.0,-0.0,Case1.vtk
0.0,0.1111111111111111,0.0,-0.0,Case1.vtk
0.0,0.1212121212121212,0.0,-0.0,Case1.vtk
0.0,0.1313131313131313,0.0,-0.0,Case1.vtk
0.0,0.1414141414141414,0.0,-0.0,Case1.vtk
0.0,0.1515151515151515,0.0,-0.0,Case1.vtk
0.0,0.1616161616161616,0.0,-0.0,Case1.vtk
0.0,0.1717171717171717,0.0,-0.0,Case1.vtk
0.0,0.1818181818181818,0.0,-0.0,Case1.vtk
0.0,0.1919191919191919,0.0,-0.0,Case1.vtk
0.0,0.202020202020202,0.0,-0.0,Case1.vtk
0.0,0.2121212121212121,0.0,-0.0,Case1.vtk
0.0,0.2222222222222222,0.0,-0.0,Case1.vtk
0.0,0.2323232323232323,0.0,-0.0,Case1.vtk
0.0,0.2424242424242424,0.0,-0.0,Case1.vtk
0.0,0.2525252525252525,0.0,-0.0,Case1.vtk
0.0,0.2626262626262626,0.0,-0.0,Case1.vtk
0.0,0.2727272727272727,0.0,-0.0,Case1.vtk
0.0,0.2828282828282829,0.0,-0.0,Case1.vtk
0.0,0.2929292929292929,0.0,-0.0,Case1.vtk
0.0,0.303030303030303,0.0,-0.0,Case1.vtk
0.0,0.3131313131313131,0.0,-0.0,Case1.vtk
0.0,0.3232323232323232,0.0,-0.0,Case1.vtk
0.0,0.3333333333333333,0.0,-0.0,Case1.vtk
0.0,0.3434343434343435,0.0,-0.0,Case1.vtk
0.0,0.3535353535353536,0.0,-0.0,Case1.vtk
0.0,0.3636363636363636,0.0,-0.0,Case1.vtk
0.0,0.3737373737373737,0.0,-0.0,Case1.vtk
0.0,0.3838383838383838,0.0,-0.0,Case1.vtk
0.0,0.393939393939394,0.0,-0.0,Case1.vtk
